airport_name,iata_code,icao_code,latitude,longitude,gmt,country_iso2
Hyderabad,HDD,OPKD,25.322222,68.36389,5,PK
Brewster Field,HDE,KHDE,40.433334,-99.38333,-6,US
Heringsdorf,HDF,EDAH,53.87825,14.138242,1,DE
Handan,HDG,ZBHD,36.525833,114.425,8,CN
Hamadan,HDM,OIHS,34.867146,48.53732,3.30,IR
Yampa Valley,HDN,KHDN,40.48481,-107.220764,-7,US
Havadarya,HDR,OIKP,27.05,56.166668,3.30,IR
Hoedspruit Airport,HDS,FAHS,-24.35,30.95,2,ZA
Hat Yai,HDY,VTSS,6.936764,100.39356,7,TH
Herat,HEA,OAHR,34.212696,62.22599,4.30,AF
Thompson-Robbins,HEE,KHEE,34.533333,-90.6,-6,US
Heho,HEH,VYHH,20.743862,96.79341,6.30,MM
Heihe,HEK,ZYHE,50.216667,127.433334,8,CN
Helsinki-vantaa,HEL,EFHK,60.31795,24.96645,2,FI
Helsinki-malmi,HEM,EFHF,60.25,25.05,2,FI
Nikos Kazantzakis Airport,HER,LGIR,35.33663,25.174192,2,GR
